"word","freq"
"account",1487
"advise",7
"bank",631
"issues",19
"money",744
"online",78
"receive",113
"received",231
"recipient",3
"transfer",217
"credit",46
"debited",124
"frcfa",3
"orange",55
"sara",530
"issue",60
"update",41
"credited",45
"talking",20
"reside",3
"united",5
"agent",37
"speak",13
"afriland",284
"details",49
"person",17
"sum",33
"xaf",45
"atm",94
"withdraw",138
"created",36
"app",167
"log",11
"months",69
"phone",84
"code",92
"enter",27
"opt",6
"urgently",13
"bamenda",46
"time",136
"weekend",5
"fit",4
"error",51
"talk",23
"message",154
"otp",33
"transaction",215
"validate",8
"confirm",25
"waiting",99
"approved",6
"attempted",3
"authorization",10
"cameroon",51
"complete",21
"funds",41
"login",26
"meaning",16
"receiving",28
"success",3
"times",47
"verification",11
"card",392
"debit",68
"hear",3
"form",16
"company",14
"manager",96
"send",130
"reach",7
"wondering",5
"easily",4
"manage",4
"explained",4
"difficult",6
"understand",117
"unlocked",3
"fees",50
"paying",19
"application",87
"configure",6
"guys",24
"reached",10
"told",87
"weeks",73
"blocked",57
"month",177
"pay",73
"services",25
"support",16
"assistance",13
"day",53
"patient",8
"response",59
"usa",5
"sending",28
"telling",34
"flight",3
"key",3
"step",6
"access",115
"madame",15
"pass",19
"accounts",34
"days",65
"version",22
"unable",79
"wrong",40
"action",3
"lot",8
"disappointed",8
"moving",4
"situation",23
"bafoussam",27
"contact",50
"checking",11
"savings",61
"worried",6
"minutes",7
"solution",7
"solved",11
"add",9
"beneficiary",12
"external",10
"service",74
"unavailable",6
"anu",3
"atabong",3
"dillard",3
"fortan",3
"receiver",10
"reference",14
"sender",17
"mobile",110
"receipt",13
"wallet",59
"oui",3
"missing",14
"statement",13
"statements",3
"hours",30
"active",12
"live",19
"ready",9
"travel",16
"check",84
"holder",5
"hoping",3
"trace",3
"business",24
"informed",9
"march",24
"wire",6
"hope",21
"department",3
"complaint",18
"count",3
"customers",22
"email",31
"feedback",21
"follow",16
"happy",16
"inform",7
"processed",7
"processing",11
"registered",20
"returned",10
"senegal",3
"steps",3
"sums",3
"total",21
"transactions",96
"trust",6
"updates",10
"withdrawals",17
"amounts",6
"double",7
"expect",5
"purpose",5
"virement",3
"partner",9
"answer",26
"pls",56
"refused",4
"international",47
"usd",11
"visa",55
"limit",11
"monthly",42
"requirements",6
"branch",139
"documents",86
"prepaid",46
"alright",7
"based",14
"cameroonian",3
"family",8
"nigeria",4
"momo",128
"remove",15
"reply",43
"pick",3
"provide",14
"respond",13
"type",9
"write",14
"option",9
"solving",3
"baleng",5
"demand",12
"limbe",24
"loan",302
"signed",37
"wednesday",20
"tomorrow",24
"takes",9
"grant",3
"process",30
"useless",3
"frs",338
"kindly",34
"charge",11
"package",13
"balance",223
"banks",7
"town",10
"agency",52
"closest",4
"connect",8
"incident",17
"occurred",3
"sms",36
"station",4
"customer",91
"house",6
"night",6
"collected",8
"loans",20
"remaining",10
"gab",10
"withdrawal",73
"airtime",13
"yesterday",97
"bought",11
"fcfa",54
"current",85
"cutting",4
"deposit",52
"people",64
"close",16
"save",10
"download",10
"link",11
"deduction",41
"noticed",30
"fine",9
"saving",29
"afternoon",39
"deducted",165
"drop",5
"notification",15
"week",62
"justification",3
"february",30
"understood",7
"screenshot",13
"left",44
"met",7
"mistake",13
"normal",11
"read",5
"retrieve",5
"salary",207
"charges",55
"deduct",17
"knowledge",3
"subscribed",15
"civil",9
"maximum",13
"servant",7
"collect",31
"exact",6
"password",56
"remember",7
"reset",7
"saturday",28
"validated",7
"friday",30
"knowing",8
"thousands",9
"transpired",4
"space",4
"buea",27
"insufficient",7
"travelled",5
"fee",30
"modalities",3
"school",67
"verify",23
"digit",7
"downloaded",21
"registration",17
"satisfied",4
"cut",29
"francs",15
"procedure",14
"surprise",4
"transferred",29
"letter",16
"office",38
"granted",16
"request",54
"deposited",45
"douala",22
"requested",40
"yaounde",25
"clarification",16
"love",14
"reflect",9
"dropped",9
"reason",30
"merci",5
"fondzenyuy",6
"kome",6
"stephen",7
"invoice",3
"organization",6
"payments",20
"pdf",22
"signature",7
"changed",14
"effective",3
"wait",29
"accept",5
"delayed",6
"direct",5
"bonaberi",9
"functioning",13
"play",6
"store",7
"filling",5
"transferring",8
"april",35
"authorize",9
"explain",23
"mind",4
"term",18
"machine",52
"rejected",7
"applied",73
"restriction",4
"january",20
"surprised",8
"claim",8
"cash",29
"declined",11
"electronic",3
"responding",11
"successful",19
"writing",14
"messages",26
"cancelled",5
"market",4
"pending",22
"checked",30
"negative",28
"paid",30
"salaries",7
"withdrawn",24
"withdrew",21
"called",24
"failed",17
"mtn",63
"refund",17
"beneficiaries",3
"pin",20
"register",12
"cancel",10
"expired",13
"forget",4
"invite",3
"removed",16
"return",12
"verified",7
"english",3
"history",18
"french",7
"kumba",7
"massage",9
"meant",4
"scolaire",4
"visit",6
"forgotten",11
"alert",5
"commerce",3
"info",7
"agreement",6
"attitude",5
"believable",4
"initial",5
"passed",9
"refunded",14
"regretting",4
"respect",9
"treat",9
"raised",3
"dispute",3
"november",10
"reaction",5
"duration",10
"enquire",4
"happening",39
"finally",10
"document",23
"north",3
"grateful",14
"saved",4
"eco",15
"initiated",4
"swallowed",7
"avail",32
"putting",3
"failure",13
"input",4
"invalid",4
"mfatoken",3
"block",12
"lost",20
"recieve",6
"confirmation",20
"afb",22
"stolen",6
"renew",12
"solve",21
"equally",6
"unpaid",5
"explanations",3
"rappel",4
"calling",8
"picking",3
"inserting",4
"zara",3
"summary",3
"connection",8
"load",4
"swift",8
"iban",5
"transfers",7
"hippodrome",4
"main",21
"apply",24
"eligible",13
"linked",9
"concern",21
"debits",6
"couple",6
"air",3
"reduction",6
"carry",12
"sarah",11
"user",7
"incorrect",3
"etoudi",4
"banking",68
"multiple",8
"sera",7
"unsuccessful",3
"network",24
"attempts",6
"supposed",39
"afraid",5
"level",8
"bjr",3
"august",21
"hrs",4
"monday",25
"respected",3
"sign",17
"complaining",4
"body",3
"upto",4
"atleast",3
"expecting",14
"delayance",3
"file",18
"waited",6
"avoid",6
"presently",18
"questions",4
"continue",8
"penalizing",3
"period",7
"disturbing",11
"afrilandfirstbank",3
"borrowed",3
"delay",6
"iphone",3
"europe",6
"hold",5
"melen",9
"dat",3
"declaration",4
"fund",7
"including",3
"justifications",4
"client",9
"lose",3
"losing",3
"started",9
"attach",3
"suspended",24
"correct",8
"personal",19
"updated",11
"completed",4
"deactivated",5
"recieved",5
"permit",7
"position",4
"attached",5
"earn",3
"nigerian",3
"passport",7
"proof",6
"cards",13
"resident",3
"charged",9
"succeed",4
"gain",3
"rate",10
"worry",22
"crédit",6
"morethan",3
"disappeared",3
"james",3
"happened",26
"reduced",6
"subscribe",22
"deducting",7
"deficit",7
"rest",3
"reactivate",4
"bring",6
"hallo",3
"consult",6
"explanation",17
"activate",13
"withdrawing",9
"guide",4
"acount",8
"create",28
"fixed",4
"loging",4
"center",5
"reclaim",7
"previous",14
"redraw",12
"activation",3
"soonest",3
"gmail",9
"entered",15
"thursday",24
"treated",9
"instantly",4
"source",3
"unknown",7
"haiti",3
"submitted",12
"address",12
"realize",3
"confused",4
"installed",5
"staff",3
"traveled",6
"technical",6
"shortly",3
"assured",6
"attend",5
"country",18
"frustrating",8
"workers",4
"complain",19
"bastos",6
"question",12
"pack",11
"doc",3
"sim",6
"terrible",3
"spend",5
"owner",7
"madam",36
"nearest",4
"sister",9
"dubai",12
"poor",6
"connected",8
"payment",36
"india",3
"countries",4
"standing",12
"identification",7
"unique",5
"change",24
"huge",4
"akwa",3
"authorized",6
"paris",3
"rejecting",5
"coming",18
"euro",20
"exchange",7
"pounds",3
"daily",5
"increase",8
"belgium",7
"inquire",6
"uae",9
"foreign",6
"everyday",8
"wise",4
"bonanjo",7
"hmmm",3
"abraod",3
"god",3
"currency",5
"creating",8
"confuse",3
"operation",22
"asap",5
"physical",3
"wife",5
"canada",7
"attestation",13
"tuesday",16
"complained",7
"insisting",3
"thé",16
"unblock",13
"south",5
"west",4
"mistakenly",7
"exists",3
"millions",4
"captured",6
"remain",4
"garoua",7
"internship",4
"mail",11
"actual",3
"demanding",3
"installment",3
"longterm",4
"happen",5
"inserted",5
"notify",4
"thinking",4
"discover",6
"payslip",12
"deductions",12
"discovered",11
"mfoundi",5
"kribi",5
"picture",10
"unblocked",8
"reinstated",3
"correctly",7
"select",5
"wrote",16
"share",4
"identity",9
"stanley",4
"yde",19
"written",3
"dschang",10
"deposits",5
"expire",4
"financial",13
"notice",11
"promises",3
"required",13
"realized",6
"resolved",23
"impossible",7
"beneficial",7
"contract",9
"insurance",19
"life",10
"acess",3
"names",4
"promise",3
"suppose",12
"box",6
"july",8
"prudential",4
"tired",7
"laon",9
"start",14
"perform",5
"uba",8
"mother",3
"understanding",14
"proceed",5
"finish",4
"national",3
"transfered",7
"deduced",3
"numerous",3
"codes",3
"collecting",3
"yaoundé",14
"creat",4
"included",4
"mac",11
"meet",6
"personally",3
"rectify",13
"whatsapp",12
"december",11
"desk",4
"arrived",6
"secret",5
"salaire",4
"yed",3
"emmanuel",8
"forgot",5
"hellooo",6
"succeeded",9
"cfa",12
"fault",3
"thesame",3
"creation",5
"automatically",6
"fair",4
"finance",8
"maintenance",5
"student",6
"land",3
"advance",9
"quick",3
"late",4
"precisely",5
"lacking",3
"press",3
"requesting",10
"project",10
"debt",3
"hospital",4
"reducing",4
"acc",6
"platform",8
"earlier",6
"head",7
"offices",3
"reading",3
"wanna",3
"language",3
"dakar",4
"gimac",13
"slashed",3
"borrow",3
"short",11
"issued",4
"consulted",6
"mission",7
"reduce",4
"difficulty",4
"removing",9
"job",6
"telephone",5
"rectified",10
"birth",3
"embassy",3
"promised",4
"dial",8
"brother",3
"germany",4
"operational",3
"solde",4
"leave",10
"friend",4
"firstbank",5
"wat",4
"gestionnaire",7
"historic",3
"counter",6
"figure",4
"hard",3
"restrictions",5
"remotely",5
"overdraft",18
"running",3
"care",4
"arrears",3
"produce",11
"certificate",10
"costumer",7
"essos",3
"lll",3
"subscription",11
"mechine",3
"screen",3
"expected",7
"hey",3
"server",6
"slow",5
"emergency",8
"deleted",4
"hand",4
"rappelle",3
"classic",7
"junior",4
"nkongsamba",8
"recover",6
"resolve",5
"alot",4
"june",20
"intrabanck",4
"function",6
"passing",4
"treatment",3
"guichet",3
"menu",5
"gold",4
"ticket",3
"difficulties",7
"informing",3
"activated",8
"confirming",3
"shortage",3
"counting",3
"matter",4
"urgent",11
"attended",3
"bit",4
"lady",3
"attention",3
"cart",3
"agents",4
"christian",4
"contacted",5
"ngaoundere",3
"patience",3
"forwarded",4
"cost",8
"returns",5
"biyem",3
"operations",7
"fail",3
"trans",3
"reimbursed",5
"purchase",4
"exceeded",3
"october",4
"droped",3
"moment",6
"pleading",4
"islamic",5
"nic",8
"valid",9
"government",5
"teacher",5
"power",14
"pull",4
"operator",4
"edibe",4
"koge",4
"njume",4
"solange",7
"true",5
"scanned",3
"foumbot",3
"region",6
"tells",4
"positive",3
"omnium",3
"sand",3
"accountant",4
"compte",3
"franc",3
"cca",3
"fast",5
"handle",3
"limits",4
"glad",5
"rectification",4
"corrected",3
"prompt",3
"internal",3
"carried",8
"experience",3
"conversation",4
"plead",4
"remote",4
"renewal",3
"renewed",3
"release",3
"military",3
"africa",4
"checkpoint",6
"bills",3
"gestionaire",3
"worst",4
"reminder",3
"cam",3
"arrive",3
"nonsense",3
"book",3
"chèque",6
"messamendongo",3
"query",4
"avenue",7
"reads",3
"severally",3
"terms",3
"shortcode",3
"aware",5
"accessing",7
"usual",6
"sincerely",6
"commercial",7
"gwladys",3
"njie",4
"random",4
"servants",3
"calls",7
"google",11
"mails",3
"wifi",3
"contacting",3
"feeling",3
"occasions",3
"image",3
"touch",4
"monese",3
"prepared",5
"digits",8
"reaching",3
"france",5
"overdrafts",3
"indebtedness",4
"convention",3
"ebanking",3
"handed",4
"apps",7
"extend",3
"reasons",5
"mendong",10
"public",6
"bibi",3
"charles",3
"wayne",3
"filled",4
"real",6
"division",3
"plz",5
"engaged",4
"signaled",4
"attorney",13
"entering",9
"exception",3
"javax",3
"nested",3
"nonuniqueresultexception",3
"persistence",3
"result",4
"displayed",5
"team",29
"stranded",5
"reflected",3
"mixed",3
"decided",4
"informations",3
"texting",3
"seek",3
"budget",3
"fellow",4
"monies",3
"iam",3
"central",5
"building",3
"transport",3
"reclamation",7
"view",3
"conducted",3
"biyamassi",3
"trading",3
"seex",6
"evenx",3
"fortunately",3
"recognize",3
"expires",3
"massa",3
"formal",4
"study",3
"submit",3
"paypal",7
"trade",3
"brokerage",3
"chuye",7
"nformi",7
"dated",3
"favour",3
"ethiopia",8
"anydesk",4
"caracters",4
"viewer",4
"ethiopian",4
"tram",16
"guinea",4
"brazzaville",3
"xof",3
"congo",3
"treasury",3
"revolut",7
"swiss",6
"inquiry",4
"ntm",3
"dad",4
"dollar",4
"instant",3
